Codigo del Equipo;Value;Lon;Color;LEFT;TOP;Peso (KG)
GEI03-CU020;3600;1120;orange;800px;540px;2700
GEI04-CU013;;;white;800px;540px;
GEI05-CU013;3310;1090;gray;800px;540px;
GEI06-PE002;2250;730;orange;800px;540px;755
GEI07-CU010;;;white;800px;540px;
GEI08-JD007;;;gray;800px;540px;
GEI09-CU006;2650;1090;orange;800px;540px;
GEI10-PE035;4350;1400;white;800px;540px;4390
GEI11-PE035;4350;1400;gray;800px;540px;4390
GEI12-PE035;4350;1400;orange;800px;540px;4450
GEI13-PE055;4770;1920;white;800px;540px;6356
GEI14-PE055;4760;1900;gray;800px;540px;6290
GEI15-PE045;4660;1400;orange;800px;540px;4990
GEI16-CU010;3100;1100;white;800px;540px;1.9
GEI17-PE045;4660;1400;gray;800px;540px;4990
GEI18-CU006;2700;1100;orange;800px;540px;1556
GEI19-CU004;2260;1100;white;800px;540px;1390
GEI20-CU004;2680;1080;gray;800px;540px;1304
GEI21-CU006;2680;1100;orange;800px;540px;1470
GEI22-CU006;2680;1100;white;800px;540px;1470
GEI23-CU006;2680;1080;gray;800px;540px;1470
GEI24-CU006;2700;1100;orange;800px;540px;1470
GEI25-CU010;31800;1100;white;800px;540px;1758
GEI26-PE035;4380;1420;gray;800px;540px;4450
GEI27-PE035;4380;1420;orange;800px;540px;4450
GEI29-CU012;3200;1080;white;800px;540px;2000
GEI30-CU010;2920;1100;gray;800px;540px;1898
GEI31-CU008;;;orange;800px;540px;
GEI32-JD004;2120;960;white;800px;540px;1040
GEI34-JD006;2300;1060;gray;800px;540px;1405
GEI35-CU024;;;orange;800px;540px;
GEI36-MI001;1750;775;white;800px;540px;554
GEI37-PE035;4380;1420;gray;800px;540px;4450
GEI39-CU024;3860;1330;orange;800px;540px;3150
GEI40-PE045;4670;1420;white;800px;540px;4990
GEI41-CU010;3200;1100;gray;800px;540px;1762
GEI42-CU006;2700;1100;orange;800px;540px;1474
GEI43-PE055;4760;1820;white;800px;540px;6.27
GEI44-CU017;3500;1100;gray;800px;540px;2530
GEI45-CU024;3850;1300;orange;800px;540px;2650
GEJ01-PE035;4380;1420;white;800px;540px;4450
GEJ02-CU024;4000;1100;gray;800px;540px;2784
GEJ03-CU024;4000;1100;orange;800px;540px;2784
GEJ04-PE055;;;white;800px;540px;
GEJ05-CU006;3700;1960;gray;800px;540px;
GEJ06-CU012;3280;1100;orange;800px;540px;1828
GEJ07-CU017;3830;1100;white;800px;540px;
GEJ08-PE055;;;gray;800px;540px;
GEJ09-PE035;;;orange;800px;540px;
GEJ10-PE045;;;white;800px;540px;
GEJ11-PE045;;;gray;800px;540px;
GEJ12-CU024;3700;1100;orange;800px;540px;
GEJ13-PE060;;;white;800px;540px;
GEK01-CA200;;;gray;800px;540px;
GEK02-CA200;;;orange;800px;540px;
GEK03-CU013;;;white;800px;540px;1900
GEK04-PE055;4800;1900;gray;800px;540px;6283
GEK05-PE055;4800;1900;orange;800px;540px;6383
GEK06-PE060;4760;1920;white;800px;540px;6,238.00
GEK07-PE035;;;gray;800px;540px;4549
GEL01-CU010;2910;1100;orange;800px;540px;1860
GEL02-CU010;2910;1100;orange;800px;140px;1860
GEL03-CU010;2910;1100;white;800px;140px;18760
GEL04-CU012;3210;1100;gray;800px;140px;1960
GEL05-CU012;3210;1100;orange;800px;140px;1960
GEL06-CU012;3200;1100;white;800px;140px;1960
GEL07-CA200;12190;2430;gray;800px;140px;
GEL08-CA200;12190;2430;orange;800px;140px;
GEL09-CU024;3750;1100;white;800px;540px;2883
GEL10-CU017;3520;1100;gray;800px;540px;2468
GEL11-PE055;4760;1900;orange;800px;540px;6058
GEL12-CU100;6050;2430;white;800px;540px;12148
GEL13-PE045;4700;1400;gray;800px;540px;5008
GEL14-PE045;4710;1400;orange;800px;540px;5173
GEL15-PE055;4760;1900;white;800px;540px;6058
GEL16-CU024;3700;1100;gray;800px;540px;2868
GEL17-HY001;;;orange;800px;540px;
GEL18-CU150;12160;2352;white;800px;540px;
GEL19-CU150;12160;2352;gray;800px;540px;
GEL20-CU075;5010;2300;orange;800px;540px;
GEL21-PE045;4710;1400;white;800px;540px;5008
GEL22-CU012;3210;1090;gray;800px;540px;1955
GEL23-CU024;3700;1090;orange;800px;540px;2888
GEL24-CA080;;;white;800px;540px;
GEL25-CA150;12160;2352;gray;800px;540px;
GEM01-CA110;6050;2430;orange;800px;540px;15000
GEM02-CA110;6050;2430;white;800px;540px;15000
GEM03-PE060;5600;1950;gray;800px;540px;7070
GEM04-PE045;4700;1400;orange;800px;540px;5008
GEM05-PE060;5600;1950;white;800px;540px;7070
GEM06-CU010;2900;1090;gray;800px;540px;1850
GEM07-CU010;2900;1090;orange;800px;540px;1850
GEM08-CU024;3700;1090;white;800px;540px;2888
GEM09-CA115;6050;2430;gray;800px;540px;15
GEM10-CU024;3700;1090;orange;800px;540px;2888
GEM11-CU020;3510;1090;white;800px;540px;2543
GEM12-CA200;12160;2352;gray;800px;540px;
GEM13-CA200;12160;2352;orange;800px;540px;
GEM14-CU020;3510;1090;white;800px;540px;2543
GEM15-CU075;5010;2300;gray;800px;540px;
GEM16-CU024;3700;1090;orange;800px;540px;2898
GEM17-CU024;3700;1090;white;800px;540px;2898
GEM18-CA200;12190;2440;gray;800px;540px;
GEM19-CA075;12190;2440;orange;800px;540px;
GEM20-CA075;6050;2430;white;800px;540px;11500
GEN01-MTU2100;12190;2440;white;800px;540px;11500
;;;;;;
